%time,field.header.seq,field.header.stamp,field.header.frame_id,field.info.header.seq,field.info.header.stamp,field.info.header.frame_id,field.info.vehid,field.info.type,field.info.msg_ver,field.info.comm,field.speed,field.position.x,field.position.y,field.position.z,field.yaw,field.wheel_angle,field.quality,field.distance,field.status,field.direction,field.weight,field.correction.x,field.correction.y,field.correction.z,field.reason.reason,field.reason.point.x,field.reason.point.y,field.reason.point.z,field.reason.state
1687473266018321308,2086599,1687473266013854980,,0,0,,1007002,,,,5.11053133011,422.448836875,-1496.49862187,281.411202693,1.53749978542,-0.0281249992549,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266029000801,2086600,1687473266025612115,,0,0,,1007002,,,,5.11315155029,422.45049083,-1496.42598318,281.401374266,1.53699791431,-0.0302083324641,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266046018135,2086601,1687473266042936086,,0,0,,1007002,,,,5.11624622345,422.452365383,-1496.34073764,281.389824377,1.53651428223,-0.0302083324641,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266064441384,2086602,1687473266061666965,,0,0,,1007002,,,,5.10767698288,422.454691625,-1496.42296241,281.409620293,1.53623914719,-0.0302083324641,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266080214942,2086603,1687473266076239109,,0,0,,1007002,,,,5.11052131653,422.456426964,-1496.3455224,281.399190895,1.53572273254,-0.0302083324641,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266098871998,2086604,1687473266095046997,,0,0,,1007002,,,,5.11416578293,422.472060518,-1496.18361302,281.377092147,1.53528773785,-0.0302083324641,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266114607221,2086605,1687473266111644983,,0,0,,1007002,,,,5.11697483063,422.474523117,-1496.10689556,281.36671775,1.53501462936,-0.03125,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266132634837,2086606,1687473266128582000,,0,0,,1007002,,,,5.07877063751,422.487933913,-1495.93690098,281.354263535,1.5343849659,-0.03125,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266145611305,2086607,1687473266142580032,,0,0,,1007002,,,,5.08162546158,422.490158328,-1495.86008219,281.344381323,1.53388309479,-0.03125,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266162958750,2086608,1687473266159323930,,0,0,,1007002,,,,5.08477544785,422.492531222,-1495.77577003,281.333517649,1.53357064724,-0.03125,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266180293070,2086609,1687473266177100896,,0,0,,1007002,,,,5.08809423447,422.494946827,-1495.68718461,281.32208332,1.53307461739,-0.03125,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266198623452,2086610,1687473266195266008,,0,0,,1007002,,,,5.0459728241,422.501447546,-1495.68900408,281.326449594,1.53272497654,-0.03125,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266214792540,2086611,1687473266211978912,,0,0,,1007002,,,,5.04887533188,422.503152658,-1495.6133075,281.315856708,1.53243124485,-0.03125,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473266232288738,2086612,1687473266225503921,,0,0,,1007002,,,,5.05195808411,422.504889666,-1495.53334184,281.304649383,1.53192436695,-0.0302083324641,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
